댓글수,판매량,순위1,순위2,순위3,순위4,순위5,순위6,순위7,순위8,순위9,순위10
8012,813,0,0,1,0,0,0,0,0,0,0
9031,913,0,1,0,0,0,0,0,0,0,0
10031,1012,1,0,0,0,0,0,0,0,0,0
1023,102,0,0,0,0,0,0,0,0,0,1
2003,202,0,0,0,0,0,0,0,0,1,0
3003,301,0,0,0,0,0,0,0,1,0,0
4013,411,0,0,0,0,0,0,1,0,0,0
5013,511,0,0,0,0,0,1,0,0,0,0
6013,602,0,0,0,0,1,0,0,0,0,0
7013,701,0,0,0,1,0,0,0,0,0,0
8013,813,0,0,1,0,0,0,0,0,0,0
9033,913,0,1,0,0,0,0,0,0,0,0
10033,1019,1,0,0,0,0,0,0,0,0,0
1021,103,0,0,0,0,0,0,0,0,0,1
2001,203,0,0,0,0,0,0,0,0,1,0
3001,302,0,0,0,0,0,0,0,1,0,0
4011,411,0,0,0,0,0,0,1,0,0,0
5012,512,0,0,0,0,0,1,0,0,0,0
6011,602,0,0,0,0,1,0,0,0,0,0
7012,702,0,0,0,1,0,0,0,0,0,0
8012,812,0,0,1,0,0,0,0,0,0,0
9032,912,0,1,0,0,0,0,0,0,0,0
10039,1012,1,0,0,0,0,0,0,0,0,0
1021,102,0,0,0,0,0,0,0,0,0,1
2001,206,0,0,0,0,0,0,0,0,1,0
3001,306,0,0,0,0,0,0,0,1,0,0
4011,414,0,0,0,0,0,0,1,0,0,0
5012,516,0,0,0,0,0,1,0,0,0,0
6016,602,0,0,0,0,1,0,0,0,0,0
7012,701,0,0,0,1,0,0,0,0,0,0
8012,816,0,0,1,0,0,0,0,0,0,0
9032,916,0,1,0,0,0,0,0,0,0,0
10036,1019,1,0,0,0,0,0,0,0,0,0
1026,102,0,0,0,0,0,0,0,0,0,1
2006,202,0,0,0,0,0,0,0,0,1,0
3006,301,0,0,0,0,0,0,0,1,0,0
4016,411,0,0,0,0,0,0,1,0,0,0
5016,511,0,0,0,0,0,1,0,0,0,0
6016,602,0,0,0,0,1,0,0,0,0,0
7016,701,0,0,0,1,0,0,0,0,0,0
8016,813,0,0,1,0,0,0,0,0,0,0
9036,913,0,1,0,0,0,0,0,0,0,0
10036,1019,1,0,0,0,0,0,0,0,0,0
